req_numer,time,result,energy_avaliable
393,39.2024,COMPLETE,1.06
394,39.3024,COMPLETE,0
395,39.4024,DEPLETED,0
396,39.5024,DEPLETED,0
397,39.6024,DEPLETED,0
398,39.7024,DEPLETED,0
399,39.8024,DEPLETED,0
400,39.9024,DEPLETED,0
401,40.0024,COMPLETE,7.02
402,40.1024,COMPLETE,4.04
403,40.2024,COMPLETE,1.06
404,40.3024,COMPLETE,0
405,40.4024,DEPLETED,0
406,40.5024,DEPLETED,0
407,40.6024,DEPLETED,0
408,40.7024,DEPLETED,0
409,40.8024,DEPLETED,0
410,40.9024,DEPLETED,0
411,41.0024,COMPLETE,7.02
412,41.1024,COMPLETE,4.04
413,41.2024,COMPLETE,1.06
414,41.3024,COMPLETE,0
415,41.4024,DEPLETED,0
416,41.5024,DEPLETED,0
417,41.6024,DEPLETED,0
418,41.7024,DEPLETED,0
419,41.8024,DEPLETED,0
420,41.9024,DEPLETED,0
421,42.0024,COMPLETE,7.02
422,42.1024,COMPLETE,4.04
423,42.2024,COMPLETE,1.06
424,42.3024,COMPLETE,0
425,42.4024,DEPLETED,0
426,42.5024,DEPLETED,0
427,42.6024,DEPLETED,0
428,42.7024,DEPLETED,0
429,42.8024,DEPLETED,0
430,42.9024,DEPLETED,0
431,43.0024,COMPLETE,7.02
432,43.1024,COMPLETE,4.04
433,43.2024,COMPLETE,1.06
434,43.3024,COMPLETE,0
435,43.4024,DEPLETED,0
436,43.5024,DEPLETED,0
437,43.6024,DEPLETED,0
438,43.7024,DEPLETED,0
439,43.8024,DEPLETED,0
440,43.9024,DEPLETED,0
441,44.0024,COMPLETE,7.02
442,44.1024,COMPLETE,4.04
443,44.2024,COMPLETE,1.06
444,44.3024,COMPLETE,0
445,44.4024,DEPLETED,0
446,44.5024,DEPLETED,0
447,44.6024,DEPLETED,0
448,44.7024,DEPLETED,0
449,44.8024,DEPLETED,0
450,44.9024,DEPLETED,0
451,45.0024,COMPLETE,7.02
452,45.1024,COMPLETE,4.04
453,45.2024,COMPLETE,1.06
454,45.3024,COMPLETE,0
455,45.4024,DEPLETED,0
456,45.5024,DEPLETED,0
457,45.6024,DEPLETED,0
458,45.7024,DEPLETED,0
459,45.8024,DEPLETED,0
460,45.9024,DEPLETED,0
461,46.0024,COMPLETE,7.02
462,46.1024,COMPLETE,4.04
463,46.2024,COMPLETE,1.06
464,46.3024,COMPLETE,0
465,46.4024,DEPLETED,0
466,46.5024,DEPLETED,0
467,46.6024,DEPLETED,0
468,46.7024,DEPLETED,0
469,46.8024,DEPLETED,0
470,46.9024,DEPLETED,0
471,47.0024,COMPLETE,7.02
472,47.1024,COMPLETE,4.04
473,47.2024,COMPLETE,1.06
474,47.3024,COMPLETE,0
475,47.4024,DEPLETED,0
476,47.5024,DEPLETED,0
477,47.6024,DEPLETED,0
478,47.7024,DEPLETED,0
479,47.8024,DEPLETED,0
480,47.9024,DEPLETED,0
481,48.0024,COMPLETE,7.02
482,48.1024,COMPLETE,4.04
483,48.2024,COMPLETE,1.06
484,48.3024,COMPLETE,0
485,48.4024,DEPLETED,0
486,48.5024,DEPLETED,0
487,48.6024,DEPLETED,0
488,48.7024,DEPLETED,0
489,48.8024,DEPLETED,0
490,48.9024,DEPLETED,0
491,49.0024,COMPLETE,7.02
492,49.1024,COMPLETE,4.04
493,49.2024,COMPLETE,1.06
494,49.3024,COMPLETE,0
495,49.4024,DEPLETED,0
496,49.5024,DEPLETED,0
497,49.6024,DEPLETED,0
498,49.7024,DEPLETED,0
499,49.8024,DEPLETED,0
500,49.9024,DEPLETED,0
501,50.0024,COMPLETE,7.02
502,50.1024,COMPLETE,4.04
503,50.2024,COMPLETE,1.06
504,50.3024,COMPLETE,0
505,50.4024,DEPLETED,0
506,50.5024,DEPLETED,0
507,50.6024,DEPLETED,0
508,50.7024,DEPLETED,0
509,50.8024,DEPLETED,0
510,50.9024,DEPLETED,0
511,51.0024,COMPLETE,7.02
512,51.1024,COMPLETE,4.04
513,51.2024,COMPLETE,1.06
514,51.3024,COMPLETE,0
515,51.4024,DEPLETED,0
516,51.5024,DEPLETED,0
517,51.6024,DEPLETED,0
518,51.7024,DEPLETED,0
519,51.8024,DEPLETED,0
520,51.9024,DEPLETED,0
521,52.0024,COMPLETE,7.02
522,52.1024,COMPLETE,4.04
523,52.2024,COMPLETE,1.06
524,52.3024,COMPLETE,0
525,52.4024,DEPLETED,0
526,52.5024,DEPLETED,0
527,52.6024,DEPLETED,0
528,52.7024,DEPLETED,0
529,52.8024,DEPLETED,0
530,52.9024,DEPLETED,0
531,53.0024,COMPLETE,7.02
532,53.1024,COMPLETE,4.04
533,53.2024,COMPLETE,1.06
534,53.3024,COMPLETE,0
535,53.4024,DEPLETED,0
536,53.5024,DEPLETED,0
537,53.6024,DEPLETED,0
538,53.7024,DEPLETED,0
539,53.8024,DEPLETED,0
540,53.9024,DEPLETED,0
541,54.0024,COMPLETE,7.02
542,54.1024,COMPLETE,4.04
543,54.2024,COMPLETE,1.06
544,54.3024,COMPLETE,0
545,54.4024,DEPLETED,0
546,54.5024,DEPLETED,0
547,54.6024,DEPLETED,0
548,54.7024,DEPLETED,0
549,54.8024,DEPLETED,0
550,54.9024,DEPLETED,0
551,55.0024,COMPLETE,7.02
552,55.1024,COMPLETE,4.04
553,55.2024,COMPLETE,1.06
554,55.3024,COMPLETE,0
555,55.4024,DEPLETED,0
556,55.5024,DEPLETED,0
557,55.6024,DEPLETED,0
558,55.7024,DEPLETED,0
559,55.8024,DEPLETED,0
560,55.9024,DEPLETED,0
561,56.0024,COMPLETE,7.02
562,56.1024,COMPLETE,4.04
563,56.2024,COMPLETE,1.06
564,56.3024,COMPLETE,0
565,56.4024,DEPLETED,0
566,56.5024,DEPLETED,0
567,56.6024,DEPLETED,0
568,56.7024,DEPLETED,0
569,56.8024,DEPLETED,0
570,56.9024,DEPLETED,0
571,57.0024,COMPLETE,7.02
572,57.1024,COMPLETE,4.04
573,57.2024,COMPLETE,1.06
574,57.3024,COMPLETE,0
575,57.4024,DEPLETED,0
576,57.5024,DEPLETED,0
577,57.6024,DEPLETED,0
578,57.7024,DEPLETED,0
579,57.8024,DEPLETED,0
580,57.9024,DEPLETED,0
581,58.0024,COMPLETE,7.02
582,58.1024,COMPLETE,4.04
583,58.2024,COMPLETE,1.06
584,58.3024,COMPLETE,0
585,58.4024,DEPLETED,0
586,58.5024,DEPLETED,0
587,58.6024,DEPLETED,0
588,58.7024,DEPLETED,0
589,58.8024,DEPLETED,0
590,58.9024,DEPLETED,0
591,59.0024,COMPLETE,7.02
592,59.1024,COMPLETE,4.04
593,59.2024,COMPLETE,1.06
594,59.3024,COMPLETE,0
595,59.4024,DEPLETED,0
596,59.5024,DEPLETED,0
597,59.6024,DEPLETED,0
598,59.7024,DEPLETED,0
599,59.8024,DEPLETED,0
600,59.9024,DEPLETED,0
601,60.0024,COMPLETE,7.02
602,60.1024,COMPLETE,4.04
603,60.2024,COMPLETE,1.06
604,60.3024,COMPLETE,0
605,60.4024,DEPLETED,0
606,60.5024,DEPLETED,0
607,60.6024,DEPLETED,0
608,60.7024,DEPLETED,0
609,60.8024,DEPLETED,0
610,60.9024,DEPLETED,0
611,61.0024,COMPLETE,7.02
612,61.1024,COMPLETE,4.04
613,61.2024,COMPLETE,1.06
614,61.3024,COMPLETE,0
615,61.4024,DEPLETED,0
616,61.5024,DEPLETED,0
617,61.6024,DEPLETED,0
618,61.7024,DEPLETED,0
619,61.8024,DEPLETED,0
620,61.9024,DEPLETED,0
621,62.0024,COMPLETE,7.02
622,62.1024,COMPLETE,4.04
623,62.2024,COMPLETE,1.06
624,62.3024,COMPLETE,0
625,62.4024,DEPLETED,0
626,62.5024,DEPLETED,0
627,62.6024,DEPLETED,0
628,62.7024,DEPLETED,0
629,62.8024,DEPLETED,0
630,62.9024,DEPLETED,0
631,63.0024,COMPLETE,7.02
632,63.1024,COMPLETE,4.04
633,63.2024,COMPLETE,1.06
634,63.3024,COMPLETE,0
635,63.4024,DEPLETED,0
636,63.5024,DEPLETED,0
637,63.6024,DEPLETED,0
638,63.7024,DEPLETED,0
639,63.8024,DEPLETED,0
640,63.9024,DEPLETED,0
641,64.0024,COMPLETE,7.02
642,64.1024,COMPLETE,4.04
643,64.2024,COMPLETE,1.06
644,64.3024,COMPLETE,0
645,64.4024,DEPLETED,0
646,64.5024,DEPLETED,0
647,64.6024,DEPLETED,0
648,64.7024,DEPLETED,0
649,64.8024,DEPLETED,0
650,64.9024,DEPLETED,0
651,65.0024,COMPLETE,7.02
652,65.1024,COMPLETE,4.04
653,65.2024,COMPLETE,1.06
654,65.3024,COMPLETE,0
655,65.4024,DEPLETED,0
656,65.5024,DEPLETED,0
657,65.6024,DEPLETED,0
658,65.7024,DEPLETED,0
659,65.8024,DEPLETED,0
660,65.9024,DEPLETED,0
661,66.0024,COMPLETE,7.02
662,66.1024,COMPLETE,4.04
663,66.2024,COMPLETE,1.06
664,66.3024,COMPLETE,0
665,66.4024,DEPLETED,0
666,66.5024,DEPLETED,0
667,66.6024,DEPLETED,0
668,66.7024,DEPLETED,0
669,66.8024,DEPLETED,0
670,66.9024,DEPLETED,0
671,67.0024,COMPLETE,7.02
672,67.1024,COMPLETE,4.04
673,67.2024,COMPLETE,1.06
674,67.3024,COMPLETE,0
675,67.4024,DEPLETED,0
676,67.5024,DEPLETED,0
677,67.6024,DEPLETED,0
678,67.7024,DEPLETED,0
679,67.8024,DEPLETED,0
680,67.9024,DEPLETED,0
681,68.0024,COMPLETE,7.02
682,68.1024,COMPLETE,4.04
683,68.2024,COMPLETE,1.06
684,68.3024,COMPLETE,0
685,68.4024,DEPLETED,0
686,68.5024,DEPLETED,0
687,68.6024,DEPLETED,0
688,68.7024,DEPLETED,0
689,68.8024,DEPLETED,0
690,68.9024,DEPLETED,0
691,69.0024,COMPLETE,7.02
692,69.1024,COMPLETE,4.04
693,69.2024,COMPLETE,1.06
694,69.3024,COMPLETE,0
695,69.4024,DEPLETED,0
696,69.5024,DEPLETED,0
697,69.6024,DEPLETED,0
698,69.7024,DEPLETED,0
699,69.8024,DEPLETED,0
700,69.9024,DEPLETED,0
701,70.0024,COMPLETE,7.02
702,70.1024,COMPLETE,4.04
703,70.2024,COMPLETE,1.06
704,70.3024,COMPLETE,0
705,70.4024,DEPLETED,0
706,70.5024,DEPLETED,0
707,70.6024,DEPLETED,0
708,70.7024,DEPLETED,0
709,70.8024,DEPLETED,0
710,70.9024,DEPLETED,0
711,71.0024,COMPLETE,7.02
712,71.1024,COMPLETE,4.04
713,71.2024,COMPLETE,1.06
714,71.3024,COMPLETE,0
715,71.4024,DEPLETED,0
716,71.5024,DEPLETED,0
717,71.6024,DEPLETED,0
718,71.7024,DEPLETED,0
719,71.8024,DEPLETED,0
720,71.9024,DEPLETED,0
721,72.0024,COMPLETE,7.02
722,72.1024,COMPLETE,4.04
723,72.2024,COMPLETE,1.06
724,72.3024,COMPLETE,0
725,72.4024,DEPLETED,0
726,72.5024,DEPLETED,0
727,72.6024,DEPLETED,0
728,72.7024,DEPLETED,0
729,72.8024,DEPLETED,0
730,72.9024,DEPLETED,0
731,73.0024,COMPLETE,7.02
732,73.1024,COMPLETE,4.04
733,73.2024,COMPLETE,1.06
734,73.3024,COMPLETE,0
735,73.4024,DEPLETED,0
736,73.5024,DEPLETED,0
737,73.6024,DEPLETED,0
738,73.7024,DEPLETED,0
739,73.8024,DEPLETED,0
740,73.9024,DEPLETED,0
741,74.0024,COMPLETE,7.02
742,74.1024,COMPLETE,4.04
743,74.2024,COMPLETE,1.06
744,74.3024,COMPLETE,0
745,74.4024,DEPLETED,0
746,74.5024,DEPLETED,0
747,74.6024,DEPLETED,0
748,74.7024,DEPLETED,0
749,74.8024,DEPLETED,0
750,74.9024,DEPLETED,0
751,75.0024,COMPLETE,7.02
752,75.1024,COMPLETE,4.04
753,75.2024,COMPLETE,1.06
754,75.3024,COMPLETE,0
755,75.4024,DEPLETED,0
756,75.5024,DEPLETED,0
757,75.6024,DEPLETED,0
758,75.7024,DEPLETED,0
759,75.8024,DEPLETED,0
760,75.9024,DEPLETED,0
761,76.0024,COMPLETE,7.02
762,76.1024,COMPLETE,4.04
763,76.2024,COMPLETE,1.06
764,76.3024,COMPLETE,0
765,76.4024,DEPLETED,0
766,76.5024,DEPLETED,0
767,76.6024,DEPLETED,0
768,76.7024,DEPLETED,0
769,76.8024,DEPLETED,0
770,76.9024,DEPLETED,0
771,77.0024,COMPLETE,7.02
772,77.1024,COMPLETE,4.04
773,77.2024,COMPLETE,1.06
774,77.3024,COMPLETE,0
775,77.4024,DEPLETED,0
776,77.5024,DEPLETED,0
777,77.6024,DEPLETED,0
778,77.7024,DEPLETED,0
779,77.8024,DEPLETED,0
780,77.9024,DEPLETED,0
781,78.0024,COMPLETE,7.02
782,78.1024,COMPLETE,4.04
783,78.2024,COMPLETE,1.06
784,78.3024,COMPLETE,0
785,78.4024,DEPLETED,0
786,78.5024,DEPLETED,0
787,78.6024,DEPLETED,0
788,78.7024,DEPLETED,0
789,78.8024,DEPLETED,0
790,78.9024,DEPLETED,0
791,79.0024,COMPLETE,7.02
792,79.1024,COMPLETE,4.04
793,79.2024,COMPLETE,1.06
794,79.3024,COMPLETE,0
795,79.4024,DEPLETED,0
796,79.5024,DEPLETED,0
797,79.6024,DEPLETED,0
798,79.7024,DEPLETED,0
799,79.8024,DEPLETED,0
800,79.9024,DEPLETED,0
801,80.0024,COMPLETE,7.02
802,80.1024,COMPLETE,4.04
803,80.2024,COMPLETE,1.06
804,80.3024,COMPLETE,0
805,80.4024,DEPLETED,0
806,80.5024,DEPLETED,0
807,80.6024,DEPLETED,0
808,80.7024,DEPLETED,0
809,80.8024,DEPLETED,0
810,80.9024,DEPLETED,0
811,81.0024,COMPLETE,7.02
812,81.1024,COMPLETE,4.04
813,81.2024,COMPLETE,1.06
814,81.3024,COMPLETE,0
815,81.4024,DEPLETED,0
816,81.5024,DEPLETED,0
817,81.6024,DEPLETED,0
818,81.7024,DEPLETED,0
819,81.8024,DEPLETED,0
820,81.9024,DEPLETED,0
821,82.0024,COMPLETE,7.02
822,82.1024,COMPLETE,4.04
823,82.2024,COMPLETE,1.06
824,82.3024,COMPLETE,0
825,82.4024,DEPLETED,0
826,82.5024,DEPLETED,0
827,82.6024,DEPLETED,0
828,82.7024,DEPLETED,0
829,82.8024,DEPLETED,0
830,82.9024,DEPLETED,0
831,83.0024,COMPLETE,7.02
832,83.1024,COMPLETE,4.04
833,83.2024,COMPLETE,1.06
834,83.3024,COMPLETE,0
835,83.4024,DEPLETED,0
836,83.5024,DEPLETED,0
